"Reference","Value","Datasheet","Footprint","Qty","DNP","Mouser"
"C1","100uF","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1","",""
"C2","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1","",""
"C3,C4,C5,C6,C7,C24","100nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","6","",""
"C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23","1uF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","16","",""
"COM1,COM2,COM3,COM4","DE9_Plug","~","Connector_Dsub:DSUB-9_Male_EdgeMount_P2.77mm","4","",""
"D1,D2,D3,D4,D5,D6","LED","~","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","6","",""
"J4","Conn_02x20_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","1","",""
"J5","4-171826-4","","QuadCom_8b:TE_4-171826-4","1","",""
"J6","Conn_02x05_Odd_Even","~","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","1","",""
"JP1","Conn_02x08_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1","",""
"JP2","Conn_02x04_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","",""
"JP11,JP14,JP21,JP24,JP31,JP34,JP41,JP44","Conn_02x02_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","8","",""
"JP12,JP13,JP22,JP23,JP32,JP33,JP42,JP43","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","8","",""
"R1,R2,R3,R4,R5,R6","4k7","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","6","",""
"U1","ST16C554D","https://www.mouser.com/datasheet/2/146/ST16C554_ST16C554D_ST68C554-1889097.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1","","701-ST16C554DIQ64-F"
"U2","74LS139","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","Package_DIP:DIP-16_W7.62mm","1","",""
"U3,U4,U5,U6","MAX232","http://www.ti.com/lit/ds/symlink/max232.pdf","Package_DIP:DIP-16_W7.62mm","4","",""
"U7","74LS04","http://www.ti.com/lit/gpn/sn74LS04","Package_DIP:DIP-14_W7.62mm","1","",""
